train_id,train_name,source_station,destination_station,scheduled_departure,scheduled_arrival,priority,train_type,passenger_count,average_speed_kmph,status
TR040,12737 Gowthami Express,RJY,KZJ,21:10,03:10,HIGH,SUPERFAST,1310,67,ON_TIME
TR041,07780 BZA-MTM Passenger,BZA,MTM,06:15,08:15,LOW,PASSENGER,520,38,ON_TIME
TR042,07781 MTM-BZA Passenger,MTM,BZA,08:45,10:45,LOW,PASSENGER,540,38,ON_TIME
TR043,07782 BZA-BVRM Passenger,BZA,BVRM,11:15,13:30,LOW,PASSENGER,610,40,ON_TIME
TR044,07783 BVRM-NDD Passenger,BVRM,NDD,14:00,15:05,LOW,PASSENGER,480,38,ON_TIME
TR045,07784 NDD-RJY MEMU,NDD,RJY,15:30,16:15,LOW,PASSENGER,500,42,ON_TIME
TR046,17480 Tirupati - VSKP Express,OGL,VSKP,08:30,17:30,MEDIUM,EXPRESS,1100,60,DELAYED
TR047,17479 VSKP - Tirupati Express,VSKP,OGL,08:00,16:50,MEDIUM,EXPRESS,1080,61,ON_TIME
TR048,12840 Howrah Mail,VSKP,BZA,12:15,18:00,HIGH,SUPERFAST,1450,70,ON_TIME
TR049,12839 Howrah Mail,BZA,VSKP,11:40,17:20,HIGH,SUPERFAST,1420,71,DELAYED
TR050,18048 Amaravati Express,GNT,BZA,12:45,13:40,MEDIUM,EXPRESS,890,45,ON_TIME
TR051,12764 Padmavathi Express,GNT,BZA,15:00,15:55,HIGH,SUPERFAST,1050,65,ON_TIME
TR052,12763 Padmavathi Express,BZA,GNT,16:10,17:05,HIGH,SUPERFAST,1020,64,ON_TIME
TR053,17211 Kondaveedu Express,GNT,MTM,17:15,19:40,MEDIUM,EXPRESS,830,50,ON_TIME
TR054,07258 BZA-EE MEMU,BZA,EE,10:15,11:30,LOW,PASSENGER,620,42,DELAYED
TR055,07259 EE-BZA MEMU,EE,BZA,12:00,13:15,LOW,PASSENGER,600,42,ON_TIME
TR056,F30111 Freight BZA to EE,BZA,EE,11:15,12:45,LOW,FREIGHT,0,40,ON_TIME
TR057,F30112 Freight KKP to KZJ,KKP,KZJ,13:30,17:00,MEDIUM,FREIGHT,0,45,ON_TIME
TR058,12717 Ratnachal Express,BZA,VSKP,06:10,12:15,HIGH,SUPERFAST,1300,69,ON_TIME
TR059,12718 Ratnachal Express,VSKP,BZA,12:55,19:10,HIGH,SUPERFAST,1280,68,ON_TIME
TR060,17015 Visakha Express,BZA,VSKP,00:15,07:30,HIGH,EXPRESS,1200,58,ON_TIME
TR061,17016 Visakha Express,VSKP,BZA,16:30,23:45,HIGH,EXPRESS,1220,57,ON_TIME
TR062,22605 Purulia Express,VSKP,BZA,13:10,19:50,MEDIUM,SUPERFAST,1100,66,ON_TIME
TR063,22883 Puri Garib Rath,VSKP,BZA,14:20,20:25,HIGH,SUPERFAST,1250,70,DELAYED
TR064,07068 Machilipatnam Special,MTM,BZA,15:15,17:00,LOW,PASSENGER,590,40,ON_TIME
TR065,07069 Vijayawada Special,BZA,GDV,17:45,18:45,LOW,PASSENGER,510,43,ON_TIME
